2024	31
2021	31
2018	30
2019	25
2016	25
2012	23
1989	23
1977	23
2015	22
2010	22
2008	22
2007	22
2022	21
2017	21
2004	20
2000	20
1990	20
2014	19
2009	19
1993	19
1985	19
2005	18
2003	17
2002	17
2001	17
1999	17
2023	16
2006	16
1994	16
1992	16
1983	16
2025	14
2011	14
1995	14
1984	14
1980	14
1979	14
1973	14
1988	13
1997	12
1996	12
1991	12
1978	12
1972	11
2020	10
1987	10
1976	10
1956	10
2013	9
1982	9
1974	9
1968	9
1986	8
1975	8
1969	8
1970	7
1965	7
1963	7
1998	6
1981	6
1957	6
1971	5
1967	5
1964	5
1961	4
1958	4
1953	4
1966	3
1959	3
1955	3
1951	3
1949	3
1962	2
1960	2
1954	1
1950	1
