year,avg_3PA,avg_3PM
1979,0.08711088242860818,0.025829688705942887
1980,0.2233100718675138,0.07259660452036246
1981,0.18094806592286344,0.053689754771478734
1982,0.18772844680539988,0.05531458648082265
1983,0.21665525002446423,0.05572952343673549
1984,0.2577591484952668,0.06682993453586399
1985,0.3241133384734002,0.09305127216653816
1986,0.3666966786714686,0.1058423369347739
1987,0.4805577768892443,0.14749100359856057
1988,0.5228480340063762,0.16638174005452108
1989,0.6806979280261723,0.21949836423118865
1990,0.66543690930194,0.22040291825567898
1991,0.7435554067626381,0.23870103783059926
1992,0.7857296552911305,0.26272754658518743
1993,0.9262539314682999,0.3111239860950174
1994,1.1512636427771092,0.3945719384155704
1995,1.5522267206477733,0.5636842105263158
1996,1.5459030379465113,0.5621870247412738
1997,1.2975366178428762,0.4600532623169108
1998,1.1070765835799188,0.38562615978735143
1999,1.0972032742155524,0.3736698499317872
2000,1.1495983279994775,0.40434981385931684
2001,1.190714595641,0.42375087613898066
2002,1.228532173116556,0.43213713238902157
2003,1.245377664876684,0.4325862567928229
2004,1.25961072915658,0.43668700171072594
2005,1.3079349461743257,0.4660550989697882
2006,1.3657111766558805,0.4836631253400533
2007,1.4462601577792278,0.5197224034640251
2008,1.4980261248185776,0.5422641509433962
2009,1.5091472324507569,0.5443041673972763
2010,1.522162759583503,0.5454307486475481
2011,1.4924702893949016,0.526807584142248
2012,1.4762257809410835,0.5177441676551997
2013,1.6036653647611505,0.5719280037145277
2014,1.6681314027053498,0.5940122296635519
2015,1.7793170103092784,0.6189594072164949
2016,1.9282000693203936,0.6840589756578772
2017,2.147771252266638,0.7737421851741589
2018,2.2896314856000677,0.8159117141972354
2019,2.5785391456480538,0.9142732176702143
2020,2.6478189853958494,0.9522482705611068
2021,2.5889807402883505,0.9317730713023753
2022,2.668869289790569,0.949758348578762
2023,2.593838647452627,0.9381595370475434
2024,2.676458067262665,0.9655438484461473
2025,2.7282143740941067,0.9788241948598296
